ID,Bug Line,Explanation
16,1,"Use only the VTT mode for editing vectors when rdi.smartVec().label().copyLabel() is
used for the label"
32,2,BUG : Port name & pin config mismatch instead of execute it will burst twice
25,1,"BUG : Replacing the lifecycle order 
and calling RDI_END before RDI_BEGIN inverts 
the intended session/transaction scope and 
will typically cause runtime failures or no-ops."
10,2,changed the function names
26,4,"Measurement binding/order bug on Pin2.
Specifics: iMeas() is applied immediately after the first group (waveform + repeat), before the additional groups are appended then instead of execute it will read()."
23,25,the order of function calling is smartVec().burstUpload()
4,3,iClamp low and high values are exchanged
31,2,"BUG : Logical api changes (push_forward >> push_back , port name at intaialization is different from runTimeVAL & synatax of id changed to idd )"
17,8,to get first filed vector the function used is getFFV()
27,2,"BUGS:
- Pin list changed to ""DPS_0,DPS_1"" (mismatch with configured pins)
- Method name changed to ""imeas()"" (incorrect casing/API)
- Operation changed from ""execute()"" to ""write()"" (wrong semantics in DC measurement chain)"
24,3,"BUG: Pin name typo — using ""D0"" (digit zero) instead of ""DO"" (letter O).
This will capture data on pin ""D0"", but later we try to read from ""DO"".

Later, we attempt to retrieve the captured vector from pin ""DO"" (letter O).
Because the capture used ""D0"", this lookup will not match and may return empty or error."
14,7,here getAlarmValue() takes a parameter sPin
9,3,Used same function twice
13,3,Changed all the function names to random strings
22,3,there are no parameters for readTempThresh function
29,4,"Bug: Retrieving status before execute() completion and without proper synchronization
- Result on site 1 might be inconsistent or stale
- Result on site 1 might show previous state instead of {1,1}
- Missing error handling for invalid pin addresses
- Incorrect Begin & End"
2,3,vForce set to 35V which is not one of the allowed range according to the above documentation for an assumed AVI64
20,1,rdi.digCapBurstSiteUpload(true) should be set to true for uploads and as per documentation the max sample number can be 8192
11,2,Changed the argument unit and name
3,4,"The key sentence in the manual is: ""The programmed force or clamp value must always match to the selected range. Violating this rule may lead to a range overflow warning.""
vForce set to 31V which is above range, applies for AVI64/FVI16. This is configured somewhere else. For the sake of easiness we could tell the prompt we deal with an AVI64"
